Airport_code,PageRank
ALN,1.6574585635359117E-4
AZ3,1.6574585635359117E-4
BJC,1.6574585635359117E-4
CEF,1.6574585635359117E-4
CIC,1.6574585635359117E-4
N1Y,1.6574585635359117E-4
UOX,1.6574585635359117E-4
VWD,1.6574585635359117E-4
BCB,1.6574585635359117E-4
ERV,1.6574585635359117E-4
MVW,1.6574585635359117E-4
PAQ,1.6574585635359117E-4
SDX,1.6574585635359117E-4
UXK,1.6574585635359117E-4
